名称,阶级,价值,名称_EN,简介,简介_EN,标签,分类,类型,职业,图纸集,icon,堆叠,矿石,木材,皮革,药草,零件,精华,冷却,属性
水漾晶稻,3,60,Water Ripple Crystal Rice,质感如凝露。米粒自带清甜水汽，可生食,"Texture like dew. Grains have sweet moisture, edible raw.",食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,10,0,30,2,0,12,"{""卡路里"":35,""食材"":""谷物"",""美味度"":7,""蓝图"":280}"
岩心薯,4,65,Rock Heart Potato,扎根于地下深层岩缝的块茎类主粮，外皮粗糙如黑石，切开后内芯呈紫纹晶状。,"Tuber staple rooted in deep underground rock crevices, rough black stone skin, purple crystalline core inside.",食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,10,0,35,2,0,12,"{""卡路里"":35,""食材"":""谷物"",""美味度"":8,""蓝图"":350}"
星璃麦,5,110,Star Glass Wheat,米粒质感如琉璃，煮熟后香甜软糯，带有星能余韵,"Grains like glazed glass, sweet and soft when cooked, with residual star energy.",食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,10,0,20,2,3,10,"{""卡路里"":40,""食材"":""谷物"",""美味度"":10,""蓝图"":500}"
野兔后腿肉,1,50,Hare Hindquarter,鲜香浓郁，带着一丝自然的草香，肉质紧实不柴，调味后能凸显野味的独特鲜醇，不腻口。,"Rich savory flavor, light natural grass aroma, firm and non-tough meat. Highlights unique gamey umami when seasoned, not greasy.",食物/食材/炼金,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,0,30,0,2,0,12,"{""卡路里"":20,""食材"":""肉类"",""美味度"":10,""炼金属性"":{""勇气"":7,""洞察"":3},""类型"":""生物""}"
芦花鸡胸肉,2,55,Reed Chicken Breast,口感嫩滑细腻，味道清甜不腥，脂肪含量低，无论是煎炒还是炖煮，都能保持鲜爽的肉质风味。,"Smooth and delicate texture, sweet and non-fishy, low fat. Retains fresh flavor in pan-fry or stew.",食物/食材/炼金,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,0,35,0,2,0,12,"{""卡路里"":20,""食材"":""肉类"",""美味度"":12,""炼金属性"":{""勇气"":8,""洞察"":5,""齿轮"":-1},""类型"":""生物""}"
红烧肉罐头,3,60,Braised Pork Can,酱香醇厚，甜咸适口，肉质软糯入味，汤汁浓郁挂味，每一口都能感受到浓郁的肉香与酱汁风味。,"Mellow sauce aroma, balanced sweet and salty, soft and flavorful meat, rich coating sauce. Intense meaty and savory taste in every bite.",食物/食材/炼金,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,10,0,30,0,2,0,12,"{""卡路里"":20,""食材"":""肉类"",""美味度"":14,""炼金属性"":{""勇气"":6,""洞察"":9,""复苏"":-1},""类型"":""生物""}"
棘甲兽肉块,5,110,Spike Armor Beast Meat,"表层附带着细密的淡黄色硬棘,肉质紧实弹牙，自带淡淡的矿物咸香.","Covered in fine pale yellow hard spines, firm and chewy flesh, light mineral salty taste.",食物/食材/炼金,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,10,0,20,0,2,3,10,"{""卡路里"":20,""食材"":""肉类"",""美味度"":20,""炼金属性"":{""勇气"":11,""洞察"":11,""创造"":-2},""类型"":""生物""}"
金枪鱼罐头,1,50,Tuna Can,油浸风味鲜香十足，带着淡淡的鱼油香气，肉质紧实有嚼劲，咸鲜适中，自带海洋食材的纯粹鲜味。,"Oil-soaked rich savoriness, faint fish oil aroma, firm and chewy texture, balanced saltiness, pure ocean umami.",食物/食材,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,10,0,20,0,2,0,12,"{""卡路里"":20,""食材"":""海鲜"",""美味度"":10,""蓝图"":120}"
晶鳞鲫鱼,2,55,Crystal Scale Crucian,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,35,2,0,12,"{""卡路里"":20,""食材"":""海鲜"",""美味度"":12,""蓝图"":150}"
雾影鲈鱼,3,60,Shadow Mist Bass,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,40,2,0,12,"{""卡路里"":20,""食材"":""海鲜"",""美味度"":14,""蓝图"":280}"
星点马口鱼,4,65,Star Spot Horse Fish,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,45,2,0,12,"{""卡路里"":20,""食材"":""海鲜"",""美味度"":16,""蓝图"":350}"
岩隙黄鳝,5,110,Rock Crevice Eel,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,3,10,"{""卡路里"":20,""食材"":""海鲜"",""美味度"":20,""蓝图"":500}"
荧鳍鲤鱼,5,110,Glow Fin Carp,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,3,12,"{""卡路里"":20,""食材"":""海鲜"",""美味度"":20,""蓝图"":500}"
嫩生菜叶,1,50,Tender Lettuce Leaf,清爽脆嫩，微甜多汁，带着淡淡的植物清香，解腻效果极佳，生吃或轻炒都能保留清爽风味。,"Refreshing and crisp, sweet and juicy, light plant fragrance, great for cutting grease. Retains freshness raw or lightly stir-fried.",食物/食材,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,0,0,30,2,0,12,"{""卡路里"":15,""食材"":""蔬菜"",""美味度"":7.5,""蓝图"":120}"
蔬菜罐头,2,55,Vegetable Can,保留了蔬菜本身的清甜，口感脆嫩适中，咸淡均衡，混合着多种蔬菜的复合鲜香，方便快捷且风味不减。,"Retains natural vegetable sweetness, crisp and tender texture, balanced saltiness, mixed vegetable umami. Convenient with full flavor.",食物/食材,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,10,0,0,25,2,0,12,"{""卡路里"":15,""食材"":""蔬菜"",""美味度"":9,""蓝图"":150}"
水菱角,3,60,Water Chestnut,内仁清甜粉糯，带着淡淡的水生植物香气，口感绵密不粘牙，生吃脆甜，煮熟后软糯香甜，回味悠长。,"Sweet and waxy kernel, light aquatic plant aroma, dense non-sticky texture. Crisp raw, soft and sweet when cooked, long aftertaste.",食物/食材,食材,食材,,食材,res://素材/元宝/食物/食材/*,2000,0,10,0,30,2,0,12,"{""卡路里"":15,""食材"":""蔬菜"",""美味度"":10.5,""蓝图"":280}"
晶脉白菜,4,65,Crystal Vein Cabbage,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,45,2,0,12,"{""卡路里"":15,""食材"":""蔬菜"",""美味度"":13,""蓝图"":350}"
荧芯胡萝卜,5,110,Glow Core Carrot,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,3,10,"{""卡路里"":15,""食材"":""蔬菜"",""美味度"":15,""蓝图"":500}"
岩芯土豆,5,110,Rock Core Potato,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,3,10,"{""卡路里"":15,""食材"":""蔬菜"",""美味度"":15,""蓝图"":500}"
雾影黄瓜,5,110,Shadow Mist Cucumber,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,3,10,"{""卡路里"":15,""食材"":""蔬菜"",""美味度"":15,""蓝图"":500}"
晶光苹果,1,50,Crystal Light Apple,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,0,12,"{""卡路里"":15,""食材"":""水果"",""美味度"":7.5,""蓝图"":120}"
晨露桃,2,55,Morning Dew Peach,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,5,0,30,2,0,12,"{""卡路里"":15,""食材"":""水果"",""美味度"":9,""蓝图"":150}"
雾润芒果,3,60,Mist Mango,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,10,0,30,2,0,12,"{""卡路里"":15,""食材"":""水果"",""美味度"":10.5,""蓝图"":280}"
星纹番茄,4,65,Starweave Tomato,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,10,0,35,2,0,12,"{""卡路里"":15,""食材"":""水果"",""美味度"":13,""蓝图"":350}"
星粒蓝莓,5,110,Star Grain Blueberry,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,3,10,"{""卡路里"":15,""食材"":""水果"",""美味度"":15,""蓝图"":500}"
荧光莓苔,5,110,Glow Berry Moss,一份食物,A serving of food,食物/食材,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,3,12,"{""卡路里"":15,""食材"":""水果"",""美味度"":15,""蓝图"":500}"
晶流蜜水,1,50,Crystal Flow Honey Water,一份食物,A serving of food,食物/食材/炼金,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,0,12,"{""卡路里"":0,""食材"":""魔法"",""美味度"":10,""炼金属性"":{""创造"":7,""齿轮"":3},""类型"":""矿物""}"
月华银砂,2,55,Moonlight Silver Sand,一份食物,A serving of food,食物/食材/炼金,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,30,0,0,5,2,0,12,"{""卡路里"":0,""食材"":""魔法"",""美味度"":12,""炼金属性"":{""创造"":2,""齿轮"":8,""奇异"":2},""类型"":""矿物""}"
风蚀酪尘,3,60,Wind Eroded Cheese Dust,一份食物,A serving of food,食物/食材/炼金,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,40,0,0,0,2,0,12,"{""卡路里"":0,""食材"":""魔法"",""美味度"":14,""炼金属性"":{""创造"":4,""齿轮"":8,""洞察"":2},""类型"":""矿物""}"
岩焦麦块,4,65,Rock Burnt Wheat Chunk,一份食物,A serving of food,食物/食材/炼金,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,40,0,0,5,2,0,12,"{""卡路里"":0,""食材"":""魔法"",""美味度"":16,""炼金属性"":{""创造"":8,""齿轮"":7,""勇气"":1},""类型"":""矿物""}"
岩脉橙,5,110,Rock Vein Orange,一份食物,A serving of food,食物/食材/炼金,食材,食材,,食材,res://素材/豆包AI素材/食物/食材/*,2000,0,0,0,30,2,3,10,"{""卡路里"":0,""食材"":""魔法"",""美味度"":20,""炼金属性"":{""创造"":7,""齿轮"":11,""勇气"":2},""类型"":""矿物""}"
深海晶盐粉,5,300,Deep Sea Crystal Salt Powder,烹饪时融入深海独有的咸鲜风味，咸度温润不燥，裹挟深海矿物的清润回甘，让食材鲜味更显纯粹。,"Infuses dishes with unique deep-sea savoriness, mild saltiness, clear mineral sweetness, pure ingredient umami.",调料/药水,药水,调味药水,,非图纸,res://素材/豆包AI素材/药水/*,500,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 30,15,],""药水数量"":[20, 8],""口味"":""咸""}"
熔岩炽辣酱,5,300,Lava Blazing Chili Sauce,赋予食材熔岩般热烈的灼舌辣感，辣度醇厚不燥，入口瞬间迸发浓郁辣香，余韵绵长且富有层次。,"Grants lava-like intense burning spiciness, rich and non-dry heat, strong spicy aroma on entry, layered long aftertaste.",调料/药水,药水,调味药水,,非图纸,res://素材/豆包AI素材/药水/*,500,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 30,15,],""药水数量"":[20, 8],""口味"":""辣""}"
霜糖花蜜膏,5,300,Frost Sugar Nectar Paste,为菜肴注入霜糖裹蜜的清甜，甜润不腻、绵密丝滑，入口即化的甜感中带着天然花蜜的淡雅香气。,"Adds frosted sugar honey sweetness to dishes, sweet and non-greasy, smooth and silky, natural nectar elegance in melt-in-mouth sweetness.",调料/药水,药水,调味药水,,非图纸,res://素材/豆包AI素材/药水/*,500,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 30,15,],""药水数量"":[20, 8],""口味"":""甜""}"
幽藤酸浆粉,5,300,Shadow Vine Sour Pulp Powder,烹饪后释放幽藤特有的清新酸感，酸得沁脾解腻，似林间晨露般清爽，唤醒食材本身的鲜活滋味。,"Releases unique vine fresh sourness after cooking, refreshing and grease-cutting, like forest morning dew, awakens ingredient freshness.",调料/药水,药水,调味药水,,非图纸,res://素材/豆包AI素材/药水/*,500,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 30,15,],""药水数量"":[20, 8],""口味"":""酸""}"
星尘鲜贝粉,5,300,Star Dust Scallop Powder,浓缩星尘与海贝的双重鲜醇，鲜味浓郁却不腥腻，为菜肴增添空灵绵长的海味，让鲜味更具穿透力。,"Concentrated dual umami of star dust and scallops, rich and non-fishy, adds ethereal long ocean flavor to dishes, penetrating umami.",调料/药水,药水,调味药水,,非图纸,res://素材/豆包AI素材/药水/*,500,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 30,15,],""药水数量"":[20, 8],""口味"":""鲜""}"
幻紫麻酱膏,5,300,Fantasy Purple Sesame Paste,带来幻紫般细腻的酥麻口感，麻味温润不刺激，从舌尖缓缓蔓延至喉头，与食材风味交融和谐。,"Brings dreamy purple delicate numbing taste, mild and non-irritating, spreads slowly from tongue to throat, harmonizes with ingredient flavors.",调料/药水,药水,调味药水,,非图纸,res://素材/豆包AI素材/药水/*,500,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 30,15,],""药水数量"":[20, 8],""口味"":""麻""}"
深渊苦露粉,5,300,Abyss Bitter Dew Powder,赋予菜肴深渊沉凝的醇厚苦感，苦味纯粹不涩，回甘悠长，能衬托出食材深层的复合风味。,"Grants dishes deep abyss mellow bitterness, pure and non-astringent, long aftertaste, highlights deep complex flavors of ingredients.",调料/药水,药水,调味药水,,非图纸,res://素材/豆包AI素材/药水/*,500,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 30,15,],""药水数量"":[20, 8],""口味"":""苦""}"
盖浇扣肉饭,1,800,Braised Pork Rice Bowl,一份可以入口的食物,An edible serving of food,食物/料理,食物,料理,,非图纸,res://素材/豆包AI素材/食物/料理/*,1000,,,,,,,,"{""卡路里"":40,""美味度"":50,""代币"":5,""菜谱"":{""肉类"":3,""谷物"":5,""味道"":""咸""}}"
辣炒乱炖,1,800,Spicy Stir-Fry Stew,一份可以入口的食物,An edible serving of food,食物/料理,食物,料理,,非图纸,res://素材/豆包AI素材/食物/料理/*,1000,,,,,,,,"{""卡路里"":40,""美味度"":52,""代币"":5,""菜谱"":{""肉类"":2,""谷物"":4,""蔬菜"":2,""味道"":""辣""}}"
泡椒酸萝卜粥,1,800,Pickled Pepper Radish Porridge,一份可以入口的食物,An edible serving of food,食物/料理,食物,料理,,非图纸,res://素材/豆包AI素材/食物/料理/*,1000,,,,,,,,"{""卡路里"":40,""美味度"":40,""代币"":5,""菜谱"":{""谷物"":3,""蔬菜"":2,""味道"":""酸""}}"
山药葡干甜粥,2,800,Chinese Yam Raisin Sweet Porridge,一份可以入口的食物,An edible serving of food,食物/料理,食物,料理,,非图纸,res://素材/豆包AI素材/食物/料理/*,1000,,,,,,,,"{""卡路里"":40,""美味度"":60,""代币"":10,""菜谱"":{""谷物"":4,""蔬菜"":3,""蘑菇"":2,""味道"":""甜""}}"
鲜贝虾茸粥,3,800,Scallop Shrimp Paste Porridge,一份可以入口的食物,An edible serving of food,食物/料理,食物,料理,,非图纸,res://素材/豆包AI素材/食物/料理/*,1000,,,,,,,,"{""卡路里"":40,""美味度"":65,""代币"":15,""菜谱"":{""谷物"":4,""海鲜"":3,""蘑菇"":2,""味道"":""鲜""}}"
香菇鳝丝粥,4,800,Mushroom Eel Thread Porridge,一份可以入口的食物,An edible serving of food,食物/料理,食物,料理,,非图纸,res://素材/豆包AI素材/食物/料理/*,1000,,,,,,,,"{""卡路里"":40,""美味度"":70,""代币"":20,""菜谱"":{""谷物"":3,""海鲜"":1,""蘑菇"":3,""味道"":""苦""}}"
燕麦乱炖,5,800,Oatmeal Stew,一份可以入口的食物,An edible serving of food,食物/料理,食物,料理,,非图纸,res://素材/豆包AI素材/食物/料理/*,1000,,,,,,,,"{""卡路里"":35,""美味度"":75,""代币"":25,""菜谱"":{""谷物"":3,""蔬菜"":1,""蘑菇"":3,""味道"":""咸""}}"
玉米排骨乱炖,5,800,Corn Rib Stew,一份可以入口的食物,An edible serving of food,食物/料理,食物,料理,,非图纸,res://素材/豆包AI素材/食物/料理/*,1000,,,,,,,,"{""卡路里"":35,""美味度"":75,""代币"":25,""菜谱"":{""谷物"":2,""蔬菜"":3,""肉类"":2,""味道"":""甜""}}"
炽魂药剂,1,1000,Blazing Soul Elixir,"近战攻击附带""火焰伤害""","Melee attack applies ""Fire Damage""",药水,药水,战斗药水,,非图纸,res://素材/豆包AI素材/药水/*,200,,,,,,,,"{""药水倾向"":[""任意"", 0,2,""勇气"", 30,5,],""药水数量"":[20, 3]}"
庇护灵药,1,1000,Shelter Elixir,持续获得“护盾”,"Continuously gain ""Shield""",药水,药水,战斗药水,,非图纸,res://素材/豆包AI素材/药水/*,200,,,,,,,,"{""药水倾向"":[""任意"", 0,2,""勇气"", 30,8,],""药水数量"":[20, 3]}"
熊之力酊剂,1,1000,Bear's Strength Tincture,暴击提升。,Increases Critical Strike,药水,药水,战斗药水,,非图纸,res://素材/豆包AI素材/药水/*,200,,,,,,,,"{""药水倾向"":[""任意"", 0,2,""勇气"", 30,8,],""药水数量"":[20, 3]}"
幽影药剂,1,1000,Shadow Elixir,闪避提升。,Increases Evasion,药水,药水,战斗药水,,非图纸,res://素材/豆包AI素材/药水/*,200,,,,,,,,"{""药水倾向"":[""任意"", 0,2,""勇气"", 30,8,],""药水数量"":[20, 3]}"
生命甘露,1,1000,Life Nectar,最大生命值提升。,Increases Maximum Health,药水,药水,战斗药水,,非图纸,res://素材/豆包AI素材/药水/*,200,,,,,,,,"{""药水倾向"":[""任意"", 0,2,""勇气"", 30,8,],""药水数量"":[20, 3]}"
力量药水,1,1000,Strength Potion,提升力量。,Increases Strength,药水,药水,战斗药水,,非图纸,res://素材/豆包AI素材/药水/*,200,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""勇气"", 30,10,],""药水数量"":[20, 3]}"
速度药水,1,1000,Speed Potion,提升速度。,Increases Speed,药水,药水,战斗药水,,非图纸,res://素材/豆包AI素材/药水/*,200,,,,,,,,"{""药水倾向"":[""任意"", 0,2,""勇气"", 30,5,],""药水数量"":[20, 3]}"
防御药水,1,1000,Defense Potion,增加护盾容量,Increases Shield Capacity,药水,药水,战斗药水,,非图纸,res://素材/豆包AI素材/药水/*,200,,,,,,,,"{""药水倾向"":[""任意"", 0,2,""勇气"", 30,8,],""药水数量"":[20, 3]}"
生命药水,1,750,Health Potion,立即恢复一定生命值。,Instantly restores a certain amount of Health.,药水,药水,战斗药水,,经典药水,res://素材/豆包AI素材/药水/*,500,0,0,0,25,5,0,10,"{""药水倾向"":[""任意"", 0,5,""勇气"", 30,20,""勇气"", 100,-5],""药水数量"":[5, 16],""药水效果"":[[""生命回复"",50,10]]}"
持续生命药水,1,750,Regeneration Potion,饮用后持续恢复生命值一段时间。,Continuously restores Health for a period after drinking.,药水,药水,战斗药水,,经典药水,res://素材/豆包AI素材/药水/*,500,0,0,0,25,5,0,10,"{""药水倾向"":[""任意"", 0,5,""勇气"", 30,20,""勇气"", 100,-5],""药水数量"":[5, 16],""药水效果"":[[""生命持续回复"",6,10]]}"
法力药水,1,750,Mana Potion,立即恢复一定法力值。,Instantly restores a certain amount of Mana.,药水,药水,战斗药水,,经典药水,res://素材/豆包AI素材/药水/*,500,0,0,0,25,5,0,10,"{""药水倾向"":[""任意"", 0,5,""勇气"", 30,20,""勇气"", 100,-5],""药水数量"":[5, 16],""药水效果"":[[""魔法回复"",30,12]]}"
持续法力药水,1,750,Mana Regen Potion,饮用后持续恢复法力值一段时间。,Continuously restores Mana for a period after drinking.,药水,药水,战斗药水,,经典药水,res://素材/豆包AI素材/药水/*,500,0,0,0,25,5,0,10,"{""药水倾向"":[""任意"", 0,5,""勇气"", 30,20,""勇气"", 100,-5],""药水数量"":[5, 16],""药水效果"":[[""魔法持续回复"",5,12]]}"
以太药水,1,1000,Aether Potion,"饮用后获得一层BUFF持续5分钟时间重置,最多3层一段时间内,增加所有点击获取的基础材料数量倍率+1","Gain 1 stack of BUFF (5 minutes, refreshable, max 3 stacks). Temporarily increases base material gain multiplier from all clicks by +1 for a duration.",手工/药水,药水,手工药水,,非图纸,res://素材/豆包AI素材/药水/*,256,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 50,8,],""药水数量"":[50, 2],""使用"":""药水""}"
创生息壤药水,2,1000,Creation Loam Potion,"饮用后获得一层BUFF持续5分钟时间重制,最多3层,一段时间内,增加""木材"",""药草""点击获取的基础材料数量+1与临时上限+100","Gain 1 stack of BUFF (5 minutes, refreshable, max 3 stacks). Temporarily increases base Wood & Herb gain per click by +1 and temporary cap by +100 for a duration.",手工/药水,药水,手工药水,,非图纸,res://素材/豆包AI素材/药水/*,256,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 50,8,],""药水数量"":[50, 2],""使用"":""药水""}"
维度稳固药水,2,1000,Dimensional Stabilization Potion,"饮用后获得一层BUFF持续5分钟时间重制,最多3层,一段时间内,增加""矿石"",""皮革""点击获取的基础材料数量+1与临时上限+100","Gain 1 stack of BUFF (5 minutes, refreshable, max 3 stacks). Temporarily increases base Ore & Leather gain per click by +1 and temporary cap by +100 for a duration.",手工/药水,药水,手工药水,,非图纸,res://素材/豆包AI素材/药水/*,256,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 50,8,],""药水数量"":[50, 2],""使用"":""药水""}"
混沌调和药水,3,1000,Chaos Tuning Potion,"饮用后获得一层BUFF持续5分钟时间重置,最多3层,每隔10秒为你增加5手工精通池.但不受其他加成影响.","Gain 1 stack of BUFF (5 minutes, refreshable, max 3 stacks). Grants +5 Crafting Mastery Pool every 10 seconds, unaffected by other bonuses.",手工/药水,药水,手工药水,,非图纸,res://素材/豆包AI素材/药水/*,256,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 50,8,],""药水数量"":[50, 2],""使用"":""药水""}"
蓝图药水,5,1000,Blueprint Potion,"饮用后获得一层BUFF持续10分钟时间叠加,最多5层,立即降低5的研究费用.达到最大层数后只能BUFF结束后才能继续饮用","Gain 1 stack of BUFF (10 minutes, stackable, max 5 stacks). Instantly reduces research cost by 5. Can only drink again after max stacks expire.",手工/药水,药水,手工药水,,非图纸,res://素材/豆包AI素材/药水/*,256,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 50,8,],""药水数量"":[50, 2],""使用"":""药水""}"
锚定时间药水,5,1000,Time Anchoring Potion,"饮用后获得一层BUFF持续10分钟时间叠加,最多1层,自动制作立即跳跃到1分钟时间后.达到最大层数后只能BUFF结束后才能继续饮用","Gain 1 stack of BUFF (10 minutes, stackable, max 1 stack). Auto crafting skips ahead by 1 minute. Can only drink again after buff expires.",手工/药水,药水,手工药水,,非图纸,res://素材/豆包AI素材/药水/*,256,,,,,,,,"{""药水倾向"":[""任意"", 0,5,""创造"", 50,8,],""药水数量"":[50, 2],""使用"":""药水""}"
悔恨之痂,5,500,Scab of Regret,一场满是未竟之事的遗憾故事，终在短瞬落幕归于虚无，未竟执念凝结的凝固悔恨与自责碎片，被炼金术封入暗褐裂纹瓶，化作带结痂纹路的深棕膏体，瓶壁暗红痕迹是遗憾的具象。,"A tale of unfulfilled regrets ending quickly in nothingness. Unfinished obsessions condense into solid regret and self-blame fragments, sealed by alchemy in a dark brown cracked bottle as deep brown paste with scab patterns. Dark red marks on the bottle embody regret.",灾厄/收藏品/药水,药水,收藏品药水,,非图纸,res://素材/豆包AI素材/药水/收藏品/灾厄收藏瓶/*,200,,,,,,,,"{""药水倾向"":[""任意"", 10,5,""奇异"", 50,8,],""药水数量"":[30, 5]}"
绝望之雾,5,500,Mist of Despair,一场无路可逃的绝境故事，希望崩塌的极致虚无感凝成情绪内核，短时间内便迎来终局，炼金术将这团散不开的灰雾封印于半透明灰黑瓶中，瓶身黑裂与缓慢流动的雾气，定格了永恒的崩塌。,"A tale of inescapable despair, ultimate nothingness of collapsed hope as core emotion. Alchemy seals this unending gray mist in a translucent gray-black bottle. Black cracks and slowly flowing mist freeze eternal collapse.",灾厄/收藏品/药水,药水,收藏品药水,,非图纸,res://素材/豆包AI素材/药水/收藏品/灾厄收藏瓶/*,200,,,,,,,,"{""药水倾向"":[""任意"", 10,5,""奇异"", 50,8,],""药水数量"":[30, 5]}"
背叛之刺,5,500,Thorn of Betrayal,一场真心被最信任之人背弃的故事，尖锐痛感在终局瞬间炸裂，炼金术将这份破碎情绪凝为黑色尖刺结晶，封存于磨砂瓶内，结晶触碰瓶壁的 “咔哒” 声，是真心碎裂的余响。,A tale of betrayal by the most trusted. Sharp pain explodes at the end. Alchemy condenses this broken emotion into black spike crystals sealed in a frosted bottle. The clicking of crystals against glass echoes a shattered heart.,灾厄/收藏品/药水,药水,收藏品药水,,非图纸,res://素材/豆包AI素材/药水/收藏品/灾厄收藏瓶/*,200,,,,,,,,"{""药水倾向"":[""任意"", 10,5,""奇异"", 50,8,],""药水数量"":[30, 5]}"
孤独之茧,5,500,Cocoon of Loneliness,一场与世隔绝、无人读懂的故事，漫长岁月的极致孤独在短瞬凝结，炼金术将这份沉默情绪裹进灰白瓷瓶，白色絮状物缠绕的暗黑色光球，恰似被孤独困住的灵魂，瓶身磕碰痕迹见证岁月沉寂。,A tale of isolation and misunderstanding. Extreme loneliness of long years condenses instantly. Alchemy seals this silent emotion in a gray-white porcelain bottle. A dark black light ball wrapped in white flocs resembles a soul trapped in loneliness. Chip marks witness silent years.,灾厄/收藏品/药水,药水,收藏品药水,,非图纸,res://素材/豆包AI素材/药水/收藏品/灾厄收藏瓶/*,200,,,,,,,,"{""药水倾向"":[""任意"", 10,5,""奇异"", 50,8,],""药水数量"":[30, 5]}"
恐惧之瞳,5,500,Eye of Fear,一场直面未知威胁的故事，灵魂被凝视的本能战栗在终局定格，炼金术将这份恐慌封存于深紫小瓶，浑浊紫黑液体中随视角转动的瞳状结晶，是恐惧最直观的具象，荧光纹路残留威胁余韵。,A tale of facing unknown threats. Instinctive terror of being watched by the soul frozen at the end. Alchemy seals this panic in a deep purple vial. Pupil-shaped crystals in murky purple-black liquid that shift with perspective are the visual embodiment of fear. Fluorescent patterns hold residual threat.,灾厄/收藏品/药水,药水,收藏品药水,,非图纸,res://素材/豆包AI素材/药水/收藏品/灾厄收藏瓶/*,200,,,,,,,,"{""药水倾向"":[""任意"", 10,5,""奇异"", 50,8,],""药水数量"":[30, 5]}"
迷茫之沼,5,500,Bog of Confusion,一场困于人生路口的故事，无数自我怀疑交织成彷徨泥沼，短时间内便走向终局，炼金术将这份迷茫收进灰绿浑浊瓶，粘稠液体中的旋转漩涡与瓶底残渣，是彷徨沉淀的痕迹。,A tale of being trapped at life's crossroads. Countless self-doubts weave a bog of hesitation. Alchemy contains this confusion in a gray-green murky bottle. Swirling vortex in viscous liquid and bottle-bottom residue are traces of settled hesitation.,灾厄/收藏品/药水,药水,收藏品药水,,非图纸,res://素材/豆包AI素材/药水/收藏品/灾厄收藏瓶/*,200,,,,,,,,"{""药水倾向"":[""任意"", 10,5,""奇异"", 50,8,],""药水数量"":[30, 5]}"
