Keys,zh-CN,EN
炼金台,炼金台,Alchemy Station
熔金埚,熔金埚,Gold Melting Crucible
聚灵埚,聚灵埚,Spirit Gathering Crucible
铁锅,铁锅,Iron Wok
素铁套,素铁套,Plain Iron Set
巧厨套,巧厨套,Cooking Master Set
随机礼盒,随机礼盒,Random Gift Box
炼金礼盒,炼金礼盒,Alchemy Gift Box
符文礼盒,符文礼盒,Rune Gift Box
绿色电路板,绿色电路板,Green Circuit Board
蓝图纸,蓝图纸,Blueprint Sheet
黄图纸,黄图纸,Yellow Blueprint
金币,金币,Gold
体力,体力,Stamina
挂机精通代币,挂机精通代币,AFK Mastery Token
木料精通代币,木料精通代币,Lumber Mastery Token
矿城精通代币,矿城精通代币,Mining City Mastery Token
手工精通代币,手工精通代币,Crafting Mastery Token
游历精通代币,游历精通代币,Wandering Mastery Token
职业精通代币,职业精通代币,Profession Mastery Token
召唤精通代币,召唤精通代币,Summoning Mastery Token
催化剂代币,催化剂代币,Catalyst Token
烹饪代币,烹饪代币,Cooking Token
资源回复代币,资源回复代币,Resource Recovery Token
贤者点数,贤者点数,Sage Points
贤者之石,贤者之石,Philosopher's Stone
铁锭,铁锭,Iron Ingot
纤维,纤维,Fiber
鞣革,鞣革,Tanned Leather
麻布,麻布,Linen Cloth
火符文,火符文,Fire Rune
水符文,水符文,Water Rune
冰符文,冰符文,Ice Rune
草符文,草符文,Grass Rune
雷符文,雷符文,Lightning Rune
土符文,土符文,Earth Rune
风符文,风符文,Wind Rune
火宝石,火宝石,Fire Gem
水宝石,水宝石,Water Gem
冰宝石,冰宝石,Ice Gem
草宝石,草宝石,Grass Gem
雷宝石,雷宝石,Lightning Gem
土宝石,土宝石,Earth Gem
风宝石,风宝石,Wind Gem
星核矿砂,星核矿砂,Star Core Ore Sand
冥铁碎片,冥铁碎片,Nether Iron Shard
魂晶粉尘,魂晶粉尘,Soul Crystal Dust
血牙结晶,血牙结晶,Blood Fang Crystal
辉光矿晶,辉光矿晶,Glow Ore Crystal
幻雾凝露,幻雾凝露,Fantasy Mist Condensate
月影花汁,月影花汁,Moon Shadow Flower Nectar
灵菇伞盖,灵菇伞盖,Spirit Mushroom Cap
炽心草茎,炽心草茎,Blazing Heart Grass Stem
星叶花,星叶花,Star Leaf Flower
发条虫蜕,发条虫蜕,Clockwork Bug Shed
腐翼鳞粉,腐翼鳞粉,Rot Wing Scale Powder
海灵珠,海灵珠,Sea Spirit Pearl
骨角碎片,骨角碎片,Bone Horn Shard
焰尾羽,焰尾羽,Flame Tail Feather
圣盾徽记,圣盾徽记,Holy Shield Emblem
星纹结晶,星纹结晶,Starweave Crystal
风翎符片,风翎符片,Wind Plume Talisman
颜料瓶,颜料瓶,Paint Bottle
枯骨残片,枯骨残片,Withered Bone Shard
腐僵碎肉,腐僵碎肉,Rotten Corpse Meat
圣坚药水,圣坚药水,Holy Fortitude Potion
星芒药水,星芒药水,Star Radiance Potion
风羽药水,风羽药水,Wind Feather Potion
白伞菇,白伞菇,White Umbrella Mushroom
荧光菇,荧光菇,Glow Mushroom
幽影腐菇,幽影腐菇,Shadow Rot Mushroom
灵脉菌,灵脉菌,Spirit Vein Fungus
炽焰绒菇,炽焰绒菇,Blazing Flame Mushroom
春小麦粒,春小麦粒,Spring Wheat Grain
沙螟谷,沙螟谷,Sand Borer Grain
水漾晶稻,水漾晶稻,Water Ripple Crystal Rice
岩心薯,岩心薯,Rock Heart Potato
星璃麦,星璃麦,Star Glass Wheat
野兔后腿肉,野兔后腿肉,Hare Hindquarter
芦花鸡胸肉,芦花鸡胸肉,Reed Chicken Breast
红烧肉罐头,红烧肉罐头,Braised Pork Can
棘甲兽肉块,棘甲兽肉块,Spike Armor Beast Meat
金枪鱼罐头,金枪鱼罐头,Tuna Can
晶鳞鲫鱼,晶鳞鲫鱼,Crystal Scale Crucian
雾影鲈鱼,雾影鲈鱼,Shadow Mist Bass
星点马口鱼,星点马口鱼,Star Spot Horse Fish
岩隙黄鳝,岩隙黄鳝,Rock Crevice Eel
荧鳍鲤鱼,荧鳍鲤鱼,Glow Fin Carp
嫩生菜叶,嫩生菜叶,Tender Lettuce Leaf
蔬菜罐头,蔬菜罐头,Vegetable Can
水菱角,水菱角,Water Chestnut
晶脉白菜,晶脉白菜,Crystal Vein Cabbage
荧芯胡萝卜,荧芯胡萝卜,Glow Core Carrot
岩芯土豆,岩芯土豆,Rock Core Potato
雾影黄瓜,雾影黄瓜,Shadow Mist Cucumber
晶光苹果,晶光苹果,Crystal Light Apple
晨露桃,晨露桃,Morning Dew Peach
雾润芒果,雾润芒果,Mist Mango
星纹番茄,星纹番茄,Starweave Tomato
星粒蓝莓,星粒蓝莓,Star Grain Blueberry
荧光莓苔,荧光莓苔,Glow Berry Moss
晶流蜜水,晶流蜜水,Crystal Flow Honey Water
月华银砂,月华银砂,Moonlight Silver Sand
风蚀酪尘,风蚀酪尘,Wind Eroded Cheese Dust
岩焦麦块,岩焦麦块,Rock Burnt Wheat Chunk
岩脉橙,岩脉橙,Rock Vein Orange
深海晶盐粉,深海晶盐粉,Deep Sea Crystal Salt Powder
熔岩炽辣酱,熔岩炽辣酱,Lava Blazing Chili Sauce
霜糖花蜜膏,霜糖花蜜膏,Frost Sugar Nectar Paste
幽藤酸浆粉,幽藤酸浆粉,Shadow Vine Sour Pulp Powder
星尘鲜贝粉,星尘鲜贝粉,Star Dust Scallop Powder
幻紫麻酱膏,幻紫麻酱膏,Fantasy Purple Sesame Paste
深渊苦露粉,深渊苦露粉,Abyss Bitter Dew Powder
盖浇扣肉饭,盖浇扣肉饭,Braised Pork Rice Bowl
辣炒乱炖,辣炒乱炖,Spicy Stir-Fry Stew
泡椒酸萝卜粥,泡椒酸萝卜粥,Pickled Pepper Radish Porridge
山药葡干甜粥,山药葡干甜粥,Chinese Yam Raisin Sweet Porridge
鲜贝虾茸粥,鲜贝虾茸粥,Scallop Shrimp Paste Porridge
香菇鳝丝粥,香菇鳝丝粥,Mushroom Eel Thread Porridge
燕麦乱炖,燕麦乱炖,Oatmeal Stew
玉米排骨乱炖,玉米排骨乱炖,Corn Rib Stew
炽魂药剂,炽魂药剂,Blazing Soul Elixir
庇护灵药,庇护灵药,Shelter Elixir
熊之力酊剂,熊之力酊剂,Bear's Strength Tincture
幽影药剂,幽影药剂,Shadow Elixir
生命甘露,生命甘露,Life Nectar
力量药水,力量药水,Strength Potion
速度药水,速度药水,Speed Potion
防御药水,防御药水,Defense Potion
生命药水,生命药水,Health Potion
持续生命药水,持续生命药水,Regeneration Potion
法力药水,法力药水,Mana Potion
持续法力药水,持续法力药水,Mana Regen Potion
以太药水,以太药水,Aether Potion
创生息壤药水,创生息壤药水,Creation Loam Potion
维度稳固药水,维度稳固药水,Dimensional Stabilization Potion
混沌调和药水,混沌调和药水,Chaos Tuning Potion
蓝图药水,蓝图药水,Blueprint Potion
锚定时间药水,锚定时间药水,Time Anchoring Potion
悔恨之痂,悔恨之痂,Scab of Regret
绝望之雾,绝望之雾,Mist of Despair
背叛之刺,背叛之刺,Thorn of Betrayal
孤独之茧,孤独之茧,Cocoon of Loneliness
恐惧之瞳,恐惧之瞳,Eye of Fear
迷茫之沼,迷茫之沼,Bog of Confusion
思念之蚀,思念之蚀,Erosion of Yearning
偏执之链,偏执之链,Chain of Paranoia
酷刑之痕,酷刑之痕,Mark of Torture
哀伤之泪,哀伤之泪,Tear of Sorrow
狂乱之絮,狂乱之絮,Fluff of Frenzy
失落之尘,失落之尘,Dust of Loss
凝水静渊瓶,凝水静渊瓶,Still Water Abyss Vial
翠芽恒生瓶,翠芽恒生瓶,Green Sprout Eternity Vial
炽焰定燃瓶,炽焰定燃瓶,Blazing Flame Vial
流风驻息瓶,流风驻息瓶,Wind Current Vial
雷弧凝晶瓶,雷弧凝晶瓶,Lightning Arc Crystal Vial
磐石稳态瓶,磐石稳态瓶,Rock Steady Vial
玄冰永冻瓶,玄冰永冻瓶,Mystic Ice Freeze Vial
炽焰维度传送液,炽焰维度传送液,Blazing Dimension Transference Fluid
幽林维度传送液,幽林维度传送液,Shadow Forest Dimension Transference Fluid
凛冬维度传送液,凛冬维度传送液,Winter Dimension Transference Fluid
荒漠维度传送液,荒漠维度传送液,Desert Dimension Transference Fluid
虚空维度传送液,虚空维度传送液,Void Dimension Transference Fluid
机械维度传送液,机械维度传送液,Mechanical Dimension Transference Fluid
深渊维度传送液,深渊维度传送液,Abyss Dimension Transference Fluid
幻境维度传送液,幻境维度传送液,Fantasy Dimension Transference Fluid
焦黑残渣浊液,焦黑残渣浊液,Charred Residue Turbid Fluid
灰白絮乱膏体,灰白絮乱膏体,Gray White Chaotic Paste
墨色泡沫废液,墨色泡沫废液,Ink Foam Waste Fluid
铅灰粘稠浆液,铅灰粘稠浆液,Lead Gray Thick Slurry
苍白浑浊雾液,苍白浑浊雾液,Pale Cloudy Mist Fluid
炭黑结块粉末,炭黑结块粉末,Charred Caked Powder
暗沉龟裂结晶,暗沉龟裂结晶,Dark Cracked Crystal
灰黑分层废液,灰黑分层废液,Gray Black Layered Waste Fluid
漏洞废弃液,漏洞废弃液,Glitch Waste Fluid
橙色小瓶颜料,橙色小瓶颜料,Orange Small Paint Bottle
橙色颜料,橙色颜料,Orange Paint
橙色大瓶颜料,橙色大瓶颜料,Orange Large Paint Bottle
橙色高级颜料,橙色高级颜料,Orange Premium Paint
橙色颜料桶,橙色颜料桶,Orange Paint Bucket
粉红小瓶颜料,粉红小瓶颜料,Pink Small Paint Bottle
粉红颜料,粉红颜料,Pink Paint
粉红大瓶颜料,粉红大瓶颜料,Pink Large Paint Bottle
粉红高级颜料,粉红高级颜料,Pink Premium Paint
粉红颜料桶,粉红颜料桶,Pink Paint Bucket
黑色小瓶颜料,黑色小瓶颜料,Black Small Paint Bottle
黑色颜料,黑色颜料,Black Paint
黑色大瓶颜料,黑色大瓶颜料,Black Large Paint Bottle
黑色高级颜料,黑色高级颜料,Black Premium Paint
黑色颜料桶,黑色颜料桶,Black Paint Bucket
红色小瓶颜料,红色小瓶颜料,Red Small Paint Bottle
红色颜料,红色颜料,Red Paint
红色大瓶颜料,红色大瓶颜料,Red Large Paint Bottle
红色高级颜料,红色高级颜料,Red Premium Paint
红色颜料桶,红色颜料桶,Red Paint Bucket
黄色小瓶颜料,黄色小瓶颜料,Yellow Small Paint Bottle
黄色颜料,黄色颜料,Yellow Paint
黄色大瓶颜料,黄色大瓶颜料,Yellow Large Paint Bottle
黄色高级颜料,黄色颜料,Yellow Premium Paint
黄色颜料桶,黄色颜料桶,Yellow Paint Bucket
灰色小瓶颜料,灰色小瓶颜料,Gray Small Paint Bottle
灰色颜料,灰色颜料,Gray Paint
灰色大瓶颜料,灰色大瓶颜料,Gray Large Paint Bottle
灰色高级颜料,灰色高级颜料,Gray Premium Paint
灰色颜料桶,灰色颜料桶,Gray Paint Bucket
蓝色小瓶颜料,蓝色小瓶颜料,Blue Small Paint Bottle
蓝色颜料,蓝色颜料,Blue Paint
蓝色大瓶颜料,蓝色大瓶颜料,Blue Large Paint Bottle
蓝色高级颜料,蓝色高级颜料,Blue Premium Paint
蓝色颜料桶,蓝色颜料桶,Blue Paint Bucket
绿色小瓶颜料,绿色小瓶颜料,Green Small Paint Bottle
绿色颜料,绿色颜料,Green Paint
绿色大瓶颜料,绿色大瓶颜料,Green Large Paint Bottle
绿色高级颜料,绿色高级颜料,Green Premium Paint
绿色颜料桶,绿色颜料桶,Green Paint Bucket
青色小瓶颜料,青色小瓶颜料,Cyan Small Paint Bottle
青色颜料,青色颜料,Cyan Paint
青色大瓶颜料,青色大瓶颜料,Cyan Large Paint Bottle
青色高级颜料,青色高级颜料,Cyan Premium Paint
青色颜料桶,青色颜料桶,Cyan Paint Bucket
紫色小瓶颜料,紫色小瓶颜料,Purple Small Paint Bottle
紫色颜料,紫色颜料,Purple Paint
紫色大瓶颜料,紫色大瓶颜料,Purple Large Paint Bottle
紫色高级颜料,紫色高级颜料,Purple Premium Paint
紫色颜料桶,紫色颜料桶,Purple Paint Bucket
近战攻击,近战攻击,Melee Attack
火球术,火球术,Fireball
治愈术,治愈术,Heal
冰锥术,冰锥术,Ice Lance
岩甲术,岩甲术,Rock Armor
召唤术,召唤术,Summon
闪电术,闪电术,Lightning
风刃术,风刃术,Wind Blade
小游戏,小游戏,Minigame
战斗,战斗,Battle
订单提升,订单提升,Order Boost
订单翻倍,订单翻倍,Order Double
普通订单,普通订单,Normal Order
残缺图纸,残缺图纸,Broken Blueprint
抽奖机,抽奖机,Gacha Machine
地球,地球,Earth
懒惰,懒惰,Sloth
暴怒,暴怒,Wrath
色欲,色欲,Lust
嫉妒,嫉妒,Envy
铁匠,铁匠,Blacksmith
猎人,猎人,Hunter
杂货铺老板,杂货铺老板,General Store Owner
老奶奶,老奶奶,Granny
僵尸A,僵尸A,Zombie A
僵尸B,僵尸B,Zombie B
僵尸C,僵尸C,Zombie C
骷髅A,骷髅A,Skeleton A
骷髅B,骷髅B,Skeleton B
骷髅C,骷髅C,Skeleton C
骷髅D,骷髅D,Skeleton D
骷髅鬼,骷髅鬼,Skeleton Ghost
恶鬼人,恶鬼人,Evil Spirit Man
幽灵人,幽灵人,Ghost Man
